id;foreststeppe;country;locality;N;E; ультурологическа€ периодика;јрхеологическое датирование;ћиграции;Economy;time.low;time.up;period;ѕор€док периодов;holocene;variable;n.species;n.bones
430;Tobol`skaia;Kurganskaia;Zamaraevskoe;56,1;63,18;b3;;;2;3500;2600;SB2-3;12;middle;numeric;3;7
431;Tobol`skaia;Cheliabinskaia;Mochishche;55,68;61,3;b3;;M Alces;2;3700;2700;SB2-3;12;middle;numeric;2;16
432;Tobol`skaia;Tiumenskaia;Krasnogorskoe;56,5;65,57;b3;;M Alces;2;2900;2700;SB3;13;middle;numeric;2;47
433;Tobol`skaia;Cheliabinskaia;Maly`i` Vishnevy`i` I;55,24;60,22;r;;m Capreolus;2;2700;2391;SB3-SA1;15;middle-late;numeric;3;496
434;Tobol`skaia;Cheliabinskaia;Berezki Vv;55,26;60,23;r;;m Capreolus;2;2700;2200;SB3-SA1;15;middle-late;numeric;3;380
435;Tobol`skaia;Tiumenskaia;Rafailovskoe;56,43;65,25;r;;M Alces;2;2700;1500;SB3-SA1;15;middle-late;numeric;5;200
436;Tobol`skaia;Cheliabinskaia;Maly`i` Leepovy`i` IX;55,39;60,39;b3r;;;2;3300;2000;SB3-SA1;15;middle-late;numeric;1;9
437;Tobol`skaia;Cheliabinskaia;Berezki II;55,24;60,2;b23r;;;2;3500;2200;SB2-SA1;17;middle-late;numeric;2;7
438;Tobol`skaia;Tiumenskaia;Verkhne-Ingal`skii` Borok-2;56,45;65,8;b3r;;;2;4000;1500;SB2-SA2;18;middle-late;numeric;2;16
439;Tobol`skaia;Kurganskaia;Rechkinskoe I;55,91666667;65,63333333;r;;;2;2100;1900;SA1;21;late;numeric;2;6
440;Tobol`skaia;Kurganskaia;Pavlinovo;56,2;64,6;r;;m Capreolus;2;2400;1900;SA1;21;late;numeric;2;34
441;Tobol`skaia;Cheliabinskaia;Berezki Va;55,25;60,23;r;;;2;2500;2000;SA1;21;late;numeric;2;17
442;Tobol`skaia;Kurganskaia;Gorohovskoe (Chudaki);55,27;64,63;r;;;2;2500;2100;SA1;21;late;numeric;2;10
443;Tobol`skaia;Kurganskaia;Vorob`evskoe;56,11666667;63,45;r;;;2;2600;2100;SA1;21;late;numeric;2;4
444;Tobol`skaia;Kurganskaia;Ust`-Tersiukskoe;56,32;64,86;;;;2;1100;500;SA2-3;24;late;numeric;3;176
445;Tobol`skaia;Tiumenskaia;Kolovskoe;56,5;65,91;;;;2;1700;700;SA2-3;24;late;numeric;2;21
446;Ishimskaia;Tiumenskaia;Mergen` 6;56,06666667;69,33333333;ne`;;M Alces;1;7321;6870;AT1;1;middle;numeric;6;191
447;Ishimskaia;Tiumenskaia;Balandino;55,48;69,33;e`;;;1;5000;4750;AT3;5;middle;numeric;3;12
448;Ishimskaia;Omskaia;Chernoozer`e 3;55,74;73,98;e`b1;;;1-2;4250;3500;SB1-2;10;middle;numeric;1;5
449;Ishimskaia;Omskaia;Chernoozer`e 4;55,74;73,98;b1-3;;;1-2;4250;3500;SB1-2;10;middle;numeric;1;8
450;Ishimskaia;Omskaia;Chernoozer`e 6;55,74;73,98;b1-3;;M Alces;1-2;4250;3500;SB1-2;10;middle;numeric;4;55
451;Ishimskaia;Omskaia;Inberen` 10;55,73;74,04;b1;;M Alces;1-2;4250;3500;SB1-2;10;middle;numeric;3;60
452;Ishimskaia;Omskaia;Kalugino I;56,05;71,86;b3;;;2;3400;3200;SB2;11;middle;numeric;2;17
453;Ishimskaia;Omskaia;Chernoozer`e 1;55,74;73,98;b3;;;2;3500;3000;SB2;11;middle;numeric;1;3
454;Ishimskaia;Kurganskaia;Zolotoe 1;55,05;65,85;b3;;;2;3600;3200;SB2;11;middle;numeric;1;4
455;Ishimskaia;Kurganskaia;Bochantcevo 1;56,03;65,92;b3;;;2;3600;3100;SB2;11;middle;numeric;2;10
456;Ishimskaia;Tiumenskaia;Uzlovskoe;56,1;70,22;b3;;M Alces;2;3600;3200;S¬2;11;middle;numeric;3;51
457;Ishimskaia;Kurganskaia;Kamy`shnoe I;55,4;66,24;b3;;;2;3650;3100;SB2;11;middle;numeric;1;6
458;Ishimskaia;Omskaia;Krasnaia gorka;55,117;73,13;nbr;;;2;3700;3200;SB2;11;middle;numeric;3;31
459;Ishimskaia;Kurganskaia;Kamy`shnoe 2;55,4;66,3;b3;;;2;3810;3420;SB2;11;middle;numeric;1;6
460;Ishimskaia;Omskaia;Sarahnin II;56;71,96;b3;;;2;4250;3500;SB2;11;middle;numeric;2;45
461;Ishimskaia;Kurganskaia;Alabuga I;54,33;65,02;b23;;;2;3700;2700;SB2-3;12;middle;numeric;2;6
462;Ishimskaia;Tiumenskaia;Marai` 4;55,61;69,33;r;;;2;2700;2400;SB3;13;middle;numeric;1;19
463;Ishimskaia;Omskaia;Inberen` 6;55,73;74,06;r;;m Capreolus;2;2800;2600;SB3;13;middle;numeric;3;327
464;Ishimskaia;Omskaia;Inberen` 7;55,73;74,05;r;;;2;2900;2600;SB3;13;middle;numeric;3;27
465;Ishimskaia;Omskaia;Inberen` 5;55,73;74,05;b3r;;m Capreolus;2;2950;2700;SB3;13;middle;numeric;3;95
466;Ishimskaia;Omskaia;Sibirskaia Sargatka;55,634;73,698;b3;;M Alces;2;3300;2700;SB3;13;middle;numeric;4;100
467;Ishimskaia;Omskaia;Chernoozer`e 8;55,74;73,98;b3;;;2;3300;2700;SB3;13;middle;numeric;1;1
468;Ishimskaia;Kazakhstan;Ak-Tau;55,02;69,08;b3;;;2;2700;2100;SB3-SA1;15;middle-late;numeric;3;9
469;Ishimskaia;Omskaia;Inberen` 4;55,73;74,04;b13r;;;2;4250;1500;SB1-SA2;20;middle-late;numeric;1;1
470;Ishimskaia;Kurganskaia;Baitovskoe I;55,83;65,72;r;;;2;2600;2500;SA1;21;late;numeric;2;7
471;Ishimskaia;Omskaia;Speranskoe;55,718;73,827;r;;;2;2600;2100;SA1;21;late;numeric;6;689
472;Ishimskaia;Omskaia;Borovianka 22;55,73;74,29;s;;;2;2600;2100;SA1;21;late;numeric;1;4
473;Ishimskaia;Omskaia;Gornostalevskoe;55,091;72,056;s;;M Alces;2;1500;1300;SA2;23;late;numeric;1;59
474;Ishimskaia;Tiumenskaia;Loginovskoe;56,21;70,18;s2;;m Capreolus;2;500;800;SA3;25;late;numeric;2;28
475;Ishimskaia;Tiumenskaia;Kuchum-Gora;55,9;69,5;s2;;;2;700;500;SA3;25;late;numeric;2;336
476;Barabinskaia;Novosibirskaia;Baraba;55,67;76,8;b1-2;;;1-2;4250;3500;SB1-2;10;middle;numeric;2;31
477;Barabinskaia;Novosibirskaia;Baraba;54,5;78,8;b;;;1-2;4250;3500;SB1-2;10;middle;numeric;3;182
478;Barabinskaia;Novosibirskaia;Baraba;54,5;78,8;b;;;1-2;4250;3500;SB1-2;10;middle;numeric;2;8
479;Barabinskaia;Novosibirskaia;Baraba;54,5;78,8;b3r;;;2;2800;2800;SB3;13;middle;numeric;2;19
480;Barabinskaia;Novosibirskaia;Om` pozdneirmen.;55,25;77,52;b3;;;2;2900;2700;SB3;13;middle;numeric;3;54
481;Barabinskaia;Omskaia;Novo-Troitckoe;55,27;73,16;b3r;;m Capreolus;2;2950;2700;SB3;13;middle;numeric;6;2685
482;Barabinskaia;Novosibirskaia;Om` irmen.;55,495;77,793;b3;;M Alces;2;3300;2700;SB3;13;middle;numeric;5;52
483;Barabinskaia;Novosibirskaia;Baraba;54,5;78,8;b3;;M Alces;2;3300;2700;SB3;13;middle;numeric;1;97
484;Barabinskaia;Novosibirskaia;Chicha 1;54,745;78,58;b-1-3rs1-2;;M Alces;2;3000;1000;SB3-SA2;16;middle-late;numeric;4;1765
485;Barabinskaia;Novosibirskaia;Turunovka 3;55,641;77,033;r;;;2;2000;1500;SA1;21;late;numeric;1;14
486;Barabinskaia;Novosibirskaia;Om` sargat.;55,25;77,52;r;;M Alces;2;2700;1500;SA1-2;22;late;numeric;3;100
487;Barabinskaia;Novosibirskaia;Voznesenskoe I gorodishche;55,61;76,38;s2;;;2;500;300;SA3;25;late;numeric;2;5
488;Barabinskaia;Novosibirskaia;Bol`shoi` Chulankul;55,67;76,67;s2;;;2;700;500;SA3;25;late;numeric;1;2
489;Obskaia;Altai`skii` krai`;Kostyonkova Izbushka neol.;52,716;84,736;n;;;1;5350;5000;AT3;5;middle;numeric;1;1
490;Obskaia;Altai`skii` krai`;Beryozovaia Luka;52,4;82,6;b;;;1-2;4300;3700;SB1-2;10;middle;numeric;4;19
491;Obskaia;Novosibirskaia;Krohalevka I;55,14;82,41;b2;;M Alces;2;3500;3400;SB2;11;middle;numeric;1;73
492;Obskaia;Altai`skii` krai`;Zharkovo 3 andron.;52,492;82,779;b;;;2;3600;2800;SB2;11;middle;numeric;1;1
493;Obskaia;Novosibirskaia;Kargat 6;55,194;80,283;b3;;;2;3600;2700;SB2-3;12;middle;numeric;1;1
494;Obskaia;Altai`skii` krai`;Zakovriashino 1;53,895;81,194;b3;;;2;3000;2900;SB3;13;middle;numeric;3;10
495;Obskaia;Tomskaia;Elovskoe;55,946;83,73;b3;;M Alces;2;3100;2600;SB3;13;middle;numeric;5;391
496;Obskaia;Novosibirskaia;Milovanovo;54,03;81,55;b3;;;2;3300;2700;SB3;13;middle;numeric;1;1
497;Obskaia;Novosibirskaia;Milovanovo 3;54,03;81,55;b3;;;2;3300;2700;SB3;13;middle;numeric;3;34
498;Obskaia;Altai`skii` krai`;By`kovo 3;53,533;81,928;b3;;;2;3300;2700;SB3;13;middle;numeric;1;12
499;Obskaia;Novosibirskaia;Irmen`;54,58;82,233;b3;;;2;3300;2700;SB3;13;middle;numeric;3;5
500;Obskaia;Novosibirskaia;Krotovo 18;53,544;82,464;b3;;;2;3300;2700;SB3;13;middle;numeric;1;1
501;Obskaia;Altai`skii` krai`;Zharkovo 3 sargarin.;52,492;82,779;b3;;;2;3300;2700;SB3;13;middle;numeric;4;20
502;Obskaia;Altai`skii` krai`;Rechkunovo 4;53,25;83,2;b3;;;2;3300;2800;SB3;13;middle;numeric;3;10
503;Obskaia;Altai`skii` krai`;Rechkunovo 3;53,496;83,339;b3;;M Alces;2;3300;2700;SB3;13;middle;numeric;5;42
504;Obskaia;Altai`skii` krai`;Firsovo 18;53,32;83,96;b3;;;2;3300;2700;SB3;13;middle;numeric;4;289
505;Obskaia;Altai`skii` krai`;Firsovo 4;53,32;83,96;b3;;;2;3300;2700;SB3;13;middle;numeric;1;6
506;Obskaia;Altai`skii` krai`;Korchazhka 5;52,712;84,717;b3;;M Alces;2;3300;2900;SB3;13;middle;numeric;1;42
507;Obskaia;Altai`skii` krai`;Suslovo 1;52,609;81,639;b1-3;;;2;4500;2500;SB1-3;14;middle;numeric;4;21
508;Obskaia;Novosibirskaia;Ordy`nskoe 19;54,367;81,899;b1-3;;;2;4500;2500;SB1-3;14;middle;binary;1;1
509;Obskaia;Novosibirskaia;Zav`ialovo 5;54,5;82,45;b;;M Alces;2;4500;2500;SB1-3;14;middle;numeric;2;133
510;Obskaia;Novosibirskaia;Krasny`i` Iar;55,28;83,06;b;;;2;4500;2500;SB1-3;14;middle;numeric;2;9
511;Obskaia;Altai`skii` krai`;My`l`nikovo;53,46;83,77;b;;;2;4500;2500;SB1-3;14;middle;numeric;4;280
512;Obskaia;Altai`skii` krai`;Kostyonkova Izbushka bronz.;52,716;84,736;b;;;2;4500;2500;SB1-3;14;middle;numeric;3;57
513;Obskaia;Altai`skii` krai`;Turina Gora;53,399;83,653;b3rs1;;m Capreolus;2;3000;1200;SB3-SA2;16;middle-late;numeric;2;17
514;Obskaia;Novosibirskaia;Mogil`nitskoe rzhv;55,83;84;r;;;2;2300;1400;SA1;21;late;numeric;3;22
515;Obskaia;Novosibirskaia;Ivanovka 4;54,203;81,706;r;;;2;2500;1500;SA1;21;late;numeric;1;5
516;Obskaia;Novosibirskaia;Dubrovinskii` Borok 3;55,516;83,266;r;;;2;2500;1500;SA1;21;late;numeric;1;12
517;Obskaia;Novosibirskaia;Kargat 4;55,194;80,283;r;;;2;2600;2100;SA1;21;late;numeric;1;3
518;Obskaia;Altai`skii` krai`;Maly`i` Gon`binskii` kordon;53,415;83,583;r;;;2;2600;2100;SA1;21;late;numeric;3;76
519;Obskaia;Novosibirskaia;Oiashkinskii` arkheologicheskii` mikrorai`on-27 (OAM-27);55,713;83,733;r;;;2;2600;1500;SA1;21;late;numeric;1;3
520;Obskaia;Altai`skii` krai`;Firsovo 10;53,32;83,96;r;;;2;2600;2100;SA1;21;late;numeric;2;30
521;Obskaia;Altai`skii` krai`;Firsovo 17;53,32;83,96;r;;;2;2600;2200;SA1;21;late;numeric;4;103
522;Obskaia;Altai`skii` krai`;Tochil`noe;52,16;85,05;r;;;2;2600;2200;SA1;21;late;numeric;3;44
523;Obskaia;Altai`skii` krai`;Tochil`noe 10;52,16;85,05;r;;;2;2600;2100;SA1;21;late;numeric;2;11
524;Obskaia;Altai`skii` krai`;Tochil`noe 3;52,16;85,05;r;;m Capreolus;2;2600;2100;SA1;21;late;numeric;4;41
525;Obskaia;Altai`skii` krai`;Tochil`noe 8;52,16;85,05;r;;;2;2600;2100;SA1;21;late;numeric;4;71
526;Obskaia;Novosibirskaia;Kamenny`i` My`s;55;83;r;;;2;2700;2000;SA1;21;late;binary;2;2
527;Obskaia;Altai`skii` krai`;Kostyonkova Izbushka rzhv;52,716;84,736;r;;M Alces;2;2300;1400;SA1-2;22;late;numeric;3;98
528;Obskaia;Novosibirskaia;Milovanovo 6;54,03;81,55;r;;;2;2500;1500;SA1-2;22;late;numeric;1;1
529;Obskaia;Novosibirskaia;Starobibeevo 4;55,71;83,702;s2;;;2;800;800;SA2;23;late;numeric;1;1
530;Obskaia;Novosibirskaia;Sedova Zaimka;55,365;82,848;c2;;;2;1000;700;SA2;23;late;numeric;1;33
531;Obskaia;Novosibirskaia;Kamenushka 1;54,84;83,23;s2;;m Capreolus;2;1000;700;SA2;23;late;numeric;2;50
532;Obskaia;Novosibirskaia;Irinskii` Borik;55,83;84;s;;;2;1550;1550;SA2;23;late;numeric;1;5
533;Obskaia;Altai`skii` krai`;Kurlap;52,64;86,35;c1;;;2;1800;1500;SA2;23;late;numeric;5;27
534;Obskaia;Novosibirskaia;Mogil`nitskoe srednev.;55,83333333;84;s;;M Alces;2;1500;300;SA2-3;24;late;numeric;3;254
535;Obskaia;Altai`skii` krai`;Kostyonkova Izbushka srednev.;52,716;84,736;s;;;2;1500;300;SA2-3;24;late;numeric;2;26
536;Obskaia;Novosibirskaia;Cherny`i` Borok 20;53,949;82,338;s2;;m Capreolus;2;500;300;SA3;25;late;numeric;3;79
537;Obskaia;Novosibirskaia;Oiashkinskii` arkheologicheskii` mikrorai`on-32 (OAM-32);55,713;83,733;s2;;;2;500;500;SA3;25;late;numeric;2;18
538;Obskaia;Novosibirskaia;Ordy`nskoe 6;54,367;81,899;s2;;M Alces;2;600;400;SA3;25;late;numeric;3;105
539;Obskaia;Novosibirskaia;Nizhnii` Suzun 7;53,72;82,146;s2;;M Alces;2;600;400;SA3;25;late;numeric;2;211
540;Obskaia;Novosibirskaia;Shcheglanushka;53,95;83,23333333;c2;;;2;600;400;SA3;25;late;numeric;3;16
541;Obskaia;Novosibirskaia;Krohalyovka-Sokolovo-3;55,15;82,54;s2;;;2;800;500;SA3;25;late;binary;1;1
542;Obskaia;Novosibirskaia;Piaty`i` Kordon 1-3;55,16;82,55;s2;;;2;800;500;SA3;25;late;binary;2;2
543;Minusinskaia;Krasnoiarskii` krai`;Sy`da;54,33333333;91,58333333;n;;;1;4800;4500;AT3;5;middle;binary;1;1
544;Minusinskaia;Krasnoiarskii` krai`;Parnaia;55,31666667;91,18333333;nb;;;1-2;4800;3300;AT3-SB2;8;middle;binary;1;1
545;Minusinskaia;Krasnoiarskii` krai`;Beloiarsk;54,48333333;91,68333333;n2b1;;;1-2;4400;3200;SB1-2;10;middle;binary;1;1
546;Minusinskaia;Krasnoiarskii` krai`;Abakanskaia Uprava I;53,71666667;91,4;r;;;2;2600;2500;SB3;13;middle;binary;1;1
547;Minusinskaia;Krasnoiarskii` krai`;Osnashchennoe II;53,08333333;91,45;rb3;;;2;2600;2500;SB3;13;middle;binary;1;1
548;Minusinskaia;Krasnoiarskii` krai`;Kochergino;53,71666667;92,6;rb3;;;2;2600;2500;SB3;13;middle;binary;1;1
549;Minusinskaia;Krasnoiarskii` krai`;Volchii` Log I;55,71666667;90,85;rb3;;;2;2700;2600;SB3;13;middle;binary;1;1
550;Minusinskaia;Krasnoiarskii` krai`;Tagarskii` ostrov III;53,56666667;91,76666667;rb;;;2;2700;2600;SB3;13;middle;binary;1;1
551;Minusinskaia;Krasnoiarskii` krai`;Sarahgashenskoe Ozero;55,71666667;90,85;rb3;;;2;2400;2300;SA1;21;late;binary;2;2
552;Minusinskaia;Krasnoiarskii` krai`;Novoselovo II;54,98333333;90,91666667;rb;;;2;2600;2500;SA1;21;late;binary;1;1
553;Balagansko-Irkutskaia;Irkutskaia;Serovo;54,89;102,99;n;;;1;7000;4600;AT1-3;6;middle;numeric;5;177
554;Balagansko-Irkutskaia;Irkutskaia;Riutino;54,48;103,03;n;;m Capreolus;1;7000;4600;AT1-3;6;middle;numeric;3;169
555;Balagansko-Irkutskaia;Irkutskaia;Ust`-Belaia;52,85;103,37;n;;m Capreolus;1;7000;4600;AT1-3;6;middle;numeric;3;63
556;Balagansko-Irkutskaia;Irkutskaia;Lenkovka n;53,02;103,4;n;;;1;7000;4600;AT1-3;6;middle;numeric;3;59
557;Balagansko-Irkutskaia;Irkutskaia;Kazach`e;53,33;103,43;n;;m Capreolus;1;7000;4600;AT1-3;6;middle;numeric;2;23
558;Balagansko-Irkutskaia;Irkutskaia;Semenovka n;52,95;103,82;n;;m Capreolus;1;7000;4600;AT1-3;6;middle;numeric;3;181
559;Balagansko-Irkutskaia;Irkutskaia;Gorely`i` Les;52,94;103,84;n;;;1;7000;4600;AT1-3;6;middle;binary;2;2
560;Balagansko-Irkutskaia;Irkutskaia;Lenkovka rb;52,99;103,5;rb;;m Capreolus;2;4600;2000;SB1-SA1;19;middle-late;numeric;3;89
561;Balagansko-Irkutskaia;Irkutskaia;Balaganskoe s2;54,01;102,06;s1;;m Capreolus;2;1100;800;SA2;23;late;numeric;2;440
562;Balagansko-Irkutskaia;Irkutskaia;Manhai`;53,106;104,392;s2;;m Capreolus;2;1250;750;SA2;23;late;numeric;5;1376
563;Balagansko-Irkutskaia;Irkutskaia;Balaganskoe s1;54,01;102,06;s1;;m Capreolus;2;1400;1100;SA2;23;late;numeric;4;874
564;Balagansko-Irkutskaia;Irkutskaia;Totok;53,81;102,98;s2;;m Capreolus;2;940;940;SA3;25;late;numeric;2;409
565;Balagansko-Irkutskaia;Irkutskaia;Leesiha;52,25;104,32;s12;;;2;2500;300;SA1-3;26;late;binary;3;3
566;Balagansko-Irkutskaia;Irkutskaia;Lenkovka nrb;53;103,6;rbn;;m Capreolus;1-2;7000;2000;AT1-SA1;27;middle-late;numeric;3;89
567;Balagansko-Irkutskaia;Irkutskaia;Semenovka n+;52,93;103,8;n+;;m Capreolus;1-2;7000;2000;AT1-SA1;27;middle-late;numeric;2;335
568;Minusinskaia;Krasnoiarskii` krai`;Chebaki;54,55;89,22;b3;;m Capreolus;2;3250;2750;SB3;11;middle;numeric;5;577
569;Kanskaia;Krasnoiarskii` krai`;Kazachka;56,07;95,51;br;;;1-2;3500;2000;SB2-SA1;17;middle-late;numeric;3;47
570;Kanskaia;Krasnoiarskii` krai`;Kazachka;56,07;95,51;n;;m Capreolus;1;8000;6000;AT1-2;2;middle;numeric;3;440
571;Kanskaia;Krasnoiarskii` krai`;Kazachka;56,07;95,51;m;;m Capreolus;1;8300;6830;AT1;1;middle;numeric;4;4205
572;Minusinskaia;Krasnoiarskii` krai`;Chebaki;54,55;89,22;b3;;m Capreolus;2;3250;2750;SB3;11;middle;numeric;5;577
