"","Spec.id","Species","Family","Sex","size.min","size.max","coefficient","size"
"1","Spec.id_1","Abacoproeces saltuum","linyphiidae","male",1.8,2.3,1,2.05
"2","Spec.id_2","Abacoproeces saltuum","linyphiidae","female",2.2,2.8,1,2.5
"3","Spec.id_3","Acantholycosa lignaria","lycosidae","male",6.5,6.5,1,6.5
"4","Spec.id_4","Acantholycosa lignaria","lycosidae","female",8,8,1,8
"5","Spec.id_5","Acantholycosa lignaria","lycosidae","submale",6.5,6.5,0.75,4.875
"6","Spec.id_6","Acantholycosa lignaria","lycosidae","juvenile",7.25,7.25,0.5,3.625
"7","Spec.id_7","Aelurillus v-insignitus","salticidae","male",4.1,5,1,4.55
"8","Spec.id_8","Agroeca brunnea","liocranide","male",5.1,7,1,6.05
"9","Spec.id_9","Agroeca brunnea","liocranide","female",6,9.4,1,7.7
"10","Spec.id_10","Agroeca brunnea","liocranide","subfemale",6,9.4,0.75,5.775
"11","Spec.id_11","Agroeca cuprea","liocranide","female",3.7,5.2,1,4.45
"12","Spec.id_12","Agroeca lusatica","liocranide","female",5,6.8,1,5.9
"13","Spec.id_13","Agroeca ssp","liocranide","juvenile",5.16,7.56,0.5,3.18
"14","Spec.id_14","Agyneta affinis","linyphiidae","male",1.5,2,1,1.75
"15","Spec.id_15","Agyneta affinis","linyphiidae","female",1.5,2,1,1.75
"16","Spec.id_16","Agyneta cauta/olivacea","linyphiidae","male",2,3,1,2.5
"17","Spec.id_17","Alopecosa aculeata","lycosidae","male",7.2,9.5,1,8.35
"18","Spec.id_18","Alopecosa aculeata","lycosidae","female",8.1,11.3,1,9.7
"19","Spec.id_19","Alopecosa aculeata","lycosidae","submale",7.2,9.5,0.75,6.2625
"20","Spec.id_20","Alopecosa aculeata","lycosidae","subfemale",8.1,11.3,0.75,7.275
"21","Spec.id_21","Alopecosa aculeata","lycosidae","juvenile",7.65,10.4,0.5,4.5125
"22","Spec.id_22","Alopecosa cuneata","lycosidae","male",6.5,7,1,6.75
"23","Spec.id_23","Alopecosa cuneata","lycosidae","female",7,8.5,1,7.75
"24","Spec.id_24","Alopecosa fabrilis","lycosidae","male",10,12,1,11
"25","Spec.id_25","Alopecosa inquilina","lycosidae","female",17,18,1,17.5
"26","Spec.id_26","Alopecosa ?inquilina","lycosidae","subfemale",17,18,0.75,13.125
"27","Spec.id_27","Alopecosa pinetorum","lycosidae","male",10.5,10.5,1,10.5
"28","Spec.id_28","Alopecosa pinetorum","lycosidae","submale",10.5,10.5,0.75,7.875
"29","Spec.id_29","Alopecosa pinetorum","lycosidae","subfemale",12,12,0.75,9
"30","Spec.id_30","Alopecosa pulverulenta","lycosidae","male",7,7,1,7
"31","Spec.id_31","Alopecosa pulverulenta","lycosidae","female",7.5,11,1,9.25
"32","Spec.id_32","Alopecosa solitaria","lycosidae","male",12,12,1,12
"33","Spec.id_33","Alopecosa sulzeri","lycosidae","male",11,11,1,11
"34","Spec.id_34","Alopecosa sulzeri","lycosidae","female",14,19,1,16.5
"35","Spec.id_35","Alopecosa sulzeri","lycosidae","submale",11,11,0.75,8.25
"36","Spec.id_36","Alopecosa sulzeri","lycosidae","subfemale",14,19,0.75,12.375
"37","Spec.id_37","Alopecosa ssp","lycosidae","submale",9.29,10,0.75,7.23375
"38","Spec.id_38","Alopecosa ssp","lycosidae","subfemale",11.6333333333333,14.2333333333333,0.75,9.7
"39","Spec.id_39","Alopecosa ssp","lycosidae","juvenile",10.2806060606061,11.9424242424242,0.5,5.55575757575758
"40","Spec.id_40","Anguliphantes angulipalpis","linyphiidae","male",2.2,2.5,1,2.35
"41","Spec.id_41","Anguliphantes angulipalpis","linyphiidae","female",2.2,2.5,1,2.35
"42","Spec.id_42","Antistea elegans","hahniidae","female",2.5,4.3,1,3.4
"43","Spec.id_43","Araneus ssp","araneidae","juvenile",11,23,0.5,8.5
"44","Spec.id_44","Arctosa leopardus","lycosidae","female",8.5,10,1,9.25
"45","Spec.id_45","Argenna subnigra","dictynidae","male",2,2.5,1,2.25
"46","Spec.id_46","Aulonia albimana","lycosidae","male",3.8,3.8,1,3.8
"47","Spec.id_47","Aulonia albimana","lycosidae","female",4.1,4.4,1,4.25
"48","Spec.id_48","Aulonia albimana","lycosidae","submale",3.8,3.8,0.75,2.85
"49","Spec.id_49","Aulonia albimana","lycosidae","subfemale",4.1,4.4,0.75,3.1875
"50","Spec.id_50","Ballus chalybeus","salticidae","male",2.7,3.6,1,3.15
"51","Spec.id_51","Callilepis nocturna","gnaphosidae","male",2.8,4.7,1,3.75
"52","Spec.id_52","Callilepis nocturna","gnaphosidae","female",3.8,5.9,1,4.85
"53","Spec.id_53","Centromerus incilium","linyphiidae","male",2.2,2.2,1,2.2
"54","Spec.id_54","Centromerus incilium","linyphiidae","female",2.2,2.5,1,2.35
"55","Spec.id_55","Centromerus sylvaticum","linyphiidae","female",3.5,4,1,3.75
"56","Spec.id_56","Ceratinella brevis","linyphiidae","male",1.6,1.8,1,1.7
"57","Spec.id_57","Ceratinella brevis","linyphiidae","female",1.8,2,1,1.9
"58","Spec.id_58","Cercidia prominens","araneidae","male",4,5,1,4.5
"59","Spec.id_59","Cercidia prominens","araneidae","female",6,6.5,1,6.25
"60","Spec.id_60","Clubiona diversa","clubionidae","male",3,4,1,3.5
"61","Spec.id_61","Clubiona lutescens","clubionidae","male",4,6,1,5
"62","Spec.id_62","Diplocephalus picinus","linyphiidae","male",1.3,2,1,1.65
"63","Spec.id_63","Diplostyla concolor","linyphiidae","male",2.5,3,1,2.75
"64","Spec.id_64","Diplostyla concolor","linyphiidae","female",2.5,3,1,2.75
"65","Spec.id_65","Dolomedes fimbriatus","Pisauridae","male",9,15,1,12
"66","Spec.id_66","Dolomedes ssp","Pisauridae","subfemale",9,22,0.75,11.625
"67","Spec.id_67","Drassodes pubescens","gnaphosidae","male",6,7.3,1,6.65
"68","Spec.id_68","Drassyllus lutetianus","gnaphosidae","male",4.7,5.5,1,5.1
"69","Spec.id_69","Drassyllus lutetianus","gnaphosidae","female",5,7.5,1,6.25
"70","Spec.id_70","Drassyllus praeficus","gnaphosidae","male",5,6.7,1,5.85
"71","Spec.id_71","Drassyllus praeficus","gnaphosidae","female",4.9,8.1,1,6.5
"72","Spec.id_72","Drassyllus pusillus","gnaphosidae","male",3.5,4.6,1,4.05
"73","Spec.id_73","Drassyllus pusillus","gnaphosidae","female",4,5.5,1,4.75
"74","Spec.id_74","Drassyllus ssp","gnaphosidae","submale",4.51666666666667,6.31666666666667,0.75,4.0625
"75","Spec.id_75","Enoplognatha thoracica","theridiidae","female",3,5.9,1,4.45
"76","Spec.id_76","Episinus truncatus","theridiidae","female",5,6.2,1,5.6
"77","Spec.id_77","Euophrys frontalis","salticidae","male",2.7,3.8,1,3.25
"78","Spec.id_78","Euophrys frontalis","salticidae","female",3.1,4.5,1,3.8
"79","Spec.id_79","Euryopis flavomaculata","theridiidae","male",3,3,1,3
"80","Spec.id_80","Euryopis flavomaculata","theridiidae","female",3.5,4,1,3.75
"81","Spec.id_81","Evarcha falcata","salticidae","male",4.4,5.9,1,5.15
"82","Spec.id_82","Evarcha falcata","salticidae","female",5,7.7,1,6.35
"83","Spec.id_83","Gibbaranea ssp","araneidae","subfemale",5,9,0.75,5.25
"84","Spec.id_84","Gnaphosa bicolor","gnaphosidae","male",6.2,8.4,1,7.3
"85","Spec.id_85","Gnaphosa bicolor","gnaphosidae","female",6.8,10,1,8.4
"86","Spec.id_86","Gnaphosa bicolor","gnaphosidae","submale",6.2,8.4,0.75,5.475
"87","Spec.id_87","Gnaphosa bicolor","gnaphosidae","subfemale",6.8,10,0.75,6.3
"88","Spec.id_88","Gnaphosa bicolor","gnaphosidae","juvenile",6.5,9.2,0.5,3.925
"89","Spec.id_89","Gnaphosa montana","gnaphosidae","male",10.5,11.3,1,10.9
"90","Spec.id_90","Gnaphosa montana","gnaphosidae","female",9.3,13.7,1,11.5
"91","Spec.id_91","Gnaphosa montana","gnaphosidae","submale",10.5,11.3,0.75,8.175
"92","Spec.id_92","Gnaphosa montana","gnaphosidae","subfemale",9.3,13.7,0.75,8.625
"93","Spec.id_93","Gnaphosa ssp","gnaphosidae","subfemale",8.05,11.85,0.75,7.4625
"94","Spec.id_94","Hahnia ononidum","hahniidae","male",1.8,2.1,1,1.95
"95","Spec.id_95","Hahnia ononidum","hahniidae","female",1.8,2.5,1,2.15
"96","Spec.id_96","Hahnia pusilla","hahniidae","male",1.2,1.6,1,1.4
"97","Spec.id_97","Hahnia ssp266","hahniidae","male",1.8,2.1,1,1.95
"98","Spec.id_98","Hahnia ssp266","hahniidae","female",1.8,2.5,1,2.15
"99","Spec.id_99","Haplodrassus cognatus","gnaphosidae","male",5.2,8,1,6.6
"100","Spec.id_100","Haplodrassus cognatus","gnaphosidae","female",5.8,10,1,7.9
"101","Spec.id_101","Haplodrassus signifer","gnaphosidae","male",4.7,7.4,1,6.05
"102","Spec.id_102","Haplodrassus signifer","gnaphosidae","female",5.1,11.8,1,8.45
"103","Spec.id_103","Haplodrassus silvestris","gnaphosidae","male",6.2,8,1,7.1
"104","Spec.id_104","Haplodrassus silvestris","gnaphosidae","female",6.8,10,1,8.4
"105","Spec.id_105","Haplodrassus soerenseni","gnaphosidae","male",4.2,5.2,1,4.7
"106","Spec.id_106","Haplodrassus soerenseni","gnaphosidae","female",5.3,7.3,1,6.3
"107","Spec.id_107","Haplodrassus umbratilis","gnaphosidae","male",3.9,6,1,4.95
"108","Spec.id_108","Haplodrassus umbratilis","gnaphosidae","female",5.1,7.5,1,6.3
"109","Spec.id_109","Haplodrassus ssp","gnaphosidae","submale",4.84,6.92,0.75,4.41
"110","Spec.id_110","Haplodrassus ssp","gnaphosidae","subfemale",5.62,9.32,0.75,5.6025
"111","Spec.id_111","Haplodrassus ssp","gnaphosidae","juvenile",5.23,8.12,0.5,3.3375
"112","Spec.id_112","Hygrolycosa rubrofasciata","lycosidae","male",5,5.5,1,5.25
"113","Spec.id_113","Hygrolycosa rubrofasciata","lycosidae","female",5.5,6,1,5.75
"114","Spec.id_114","Hypsosinga sanguinea","araneidae","male",3,3.5,1,3.25
"115","Spec.id_115","Incestophantes crucifer","linyphiidae","female",2.2,2.7,1,2.45
"116","Spec.id_116","Linyphia hortensis","linyphiidae","male",4,5,1,4.5
"117","Spec.id_117","Liocranoeca striata","liocranide","male",3.2,4.3,1,3.75
"118","Spec.id_118","Macrargus rufus","linyphiidae","male",3,4.5,1,3.75
"119","Spec.id_119","Macrargus rufus","linyphiidae","female",3,6,1,4.5
"120","Spec.id_120","Maso sundevalli","linyphiidae","male",1.3,1.7,1,1.5
"121","Spec.id_121","Metapanamomops kaestneri","linyphiidae","male",1.8,1.8,1,1.8
"122","Spec.id_122","Micaria fulgens","gnaphosidae","male",3.5,5.5,1,4.5
"123","Spec.id_123","Micaria fulgens","gnaphosidae","female",5,6,1,5.5
"124","Spec.id_124","Micaria pulicaria","gnaphosidae","male",3,4,1,3.5
"125","Spec.id_125","Micaria silesiaca","gnaphosidae","male",2.5,3.5,1,3
"126","Spec.id_126","Micaria silesiaca","gnaphosidae","female",2.5,5,1,3.75
"127","Spec.id_127","Microneta viaria","linyphiidae","male",2,2.5,1,2.25
"128","Spec.id_128","Neriene clatratha","linyphiidae","male",3.6,4.8,1,4.2
"129","Spec.id_129","Neriene montana","linyphiidae","male",5.5,8,1,6.75
"130","Spec.id_130","Neriene peltata","linyphiidae","female",5,5.5,1,5.25
"131","Spec.id_131","Neriene radiata","linyphiidae","female",3.5,6.5,1,5
"132","Spec.id_132","Ozyptila atomaria","thomisidae","male",3,4,1,3.5
"133","Spec.id_133","Ozyptila atomaria","thomisidae","female",4,6,1,5
"134","Spec.id_134","Ozyptila atomaria","thomisidae","juvenile",3.5,5,0.5,2.125
"135","Spec.id_135","Ozyptila praticola","thomisidae","male",2.5,3,1,2.75
"136","Spec.id_136","Ozyptila praticola","thomisidae","female",3,5.3,1,4.15
"137","Spec.id_137","Ozyptila praticola","thomisidae","subfemale",3,5.3,0.75,3.1125
"138","Spec.id_138","Pachygnatha degeeri","tetragnathidae","male",3,3.5,1,3.25
"139","Spec.id_139","Pachygnatha listeri","tetragnathidae","male",3,4.5,1,3.75
"140","Spec.id_140","Pachygnatha listeri","tetragnathidae","female",4.5,5,1,4.75
"141","Spec.id_141","Palliduphantes alutaceus","linyphiidae","female",1.6,2.5,1,2.05
"142","Spec.id_142","Panamomops mengei","linyphiidae","male",1.4,1.6,1,1.5
"143","Spec.id_143","Pardosa agrestis","lycosidae","male",4.5,5,1,4.75
"144","Spec.id_144","Pardosa alacris","lycosidae","male",4.5,4.5,1,4.5
"145","Spec.id_145","Pardosa alacris","lycosidae","female",4.9,4.9,1,4.9
"146","Spec.id_146","Pardosa ?alacris","lycosidae","submale",4.5,4.5,0.75,3.375
"147","Spec.id_147","Pardosa ?alacris","lycosidae","subfemale",4.9,4.9,0.75,3.675
"148","Spec.id_148","Pardosa fulvipes","lycosidae","male",4.5,5,1,4.75
"149","Spec.id_149","Pardosa lugubris","lycosidae","male",4.6,5,1,4.8
"150","Spec.id_150","Pardosa lugubris","lycosidae","female",4.8,8,1,6.4
"151","Spec.id_151","Pardosa maisa","lycosidae","male",4.8,5.5,1,5.15
"152","Spec.id_152","Pardosa maisa","lycosidae","subfemale",5.6,6.5,0.75,4.5375
"153","Spec.id_153","Pardosa paludicola","lycosidae","male",6,7,1,6.5
"154","Spec.id_154","Pardosa paludicola","lycosidae","female",8,9.5,1,8.75
"155","Spec.id_155","Pardosa riparia","lycosidae","male",5,5,1,5
"156","Spec.id_156","Pardosa riparia","lycosidae","female",5,6,1,5.5
"157","Spec.id_157","Pardosa sphagnicola","lycosidae","male",4.5,5,1,4.75
"158","Spec.id_158","Pardosa sphagnicola","lycosidae","female",5,6,1,5.5
"159","Spec.id_159","Pardosa ssp","lycosidae","submale",4.8,5.25,0.75,3.76875
"160","Spec.id_160","Pardosa ssp","lycosidae","subfemale",5.43333333333333,6.55,0.75,4.49375
"161","Spec.id_161","Pardosa ssp","lycosidae","juvenile",5.07407407407407,5.78333333333333,0.5,2.71435185185185
"162","Spec.id_162","Pelecopsis radicicola","linyphiidae","male",1.3,1.4,1,1.35
"163","Spec.id_163","Pelecopsis radicicola","linyphiidae","female",1.5,1.7,1,1.6
"164","Spec.id_164","Philodromus margaritatus","philodromidae","male",5,7,1,6
"165","Spec.id_165","Philodromus ssp","philodromidae","juvenile",5,7,0.5,3
"166","Spec.id_166","Phlegra fasciata","salticidae","male",4.3,7.4,1,5.85
"167","Spec.id_167","Phlegra fasciata","salticidae","female",5.3,7.6,1,6.45
"168","Spec.id_168","Phrurolithus festivus","phrurolithidae","male",2.2,2.9,1,2.55
"169","Spec.id_169","Phrurolithus festivus","phrurolithidae","female",2.4,3.2,1,2.8
"170","Spec.id_170","Phrurolithus festivus","phrurolithidae","submale",2.2,2.9,0.75,1.9125
"171","Spec.id_171","Pirata piscatorius","lycosidae","male",8.4,8.6,1,8.5
"172","Spec.id_172","Pirata piscatorius","lycosidae","submale",8.4,8.6,0.75,6.375
"173","Spec.id_173","Pirata tenuitarsis","lycosidae","male",4,6,1,5
"174","Spec.id_174","Pirata uliginosa","lycosidae","male",4,5,1,4.5
"175","Spec.id_175","Pirata ssp","lycosidae","juvenile",5.54285714285714,6.41428571428572,0.5,2.98928571428571
"176","Spec.id_176","Piratula hygrophila","lycosidae","male",4.5,5.5,1,5
"177","Spec.id_177","Piratula hygrophila","lycosidae","female",5,5.7,1,5.35
"178","Spec.id_178","Piratula hygrophila","lycosidae","submale",4.5,5.5,0.75,3.75
"179","Spec.id_179","Pisaura mirabilis","Pisauridae","male",10,13,1,11.5
"180","Spec.id_180","Pocadicnemis pumilla","linyphiidae","male",1.8,2,1,1.9
"181","Spec.id_181","Robertus lividus","theridiidae","male",2.5,4,1,3.25
"182","Spec.id_182","Sauron rayi","linyphiidae","male",1.5,1.5,1,1.5
"183","Spec.id_183","Sitticus terebratus","salticidae","male",4,6,1,5
"184","Spec.id_184","Sitticus sp229","salticidae","male",3,4,1,3.5
"185","Spec.id_185","Sitticus sp282","salticidae","male",3,4,1,3.5
"186","Spec.id_186","Sitticus ssp","salticidae","juvenile",3,4,0.5,1.75
"187","Spec.id_187","Steatoda albomaculata","theridiidae","male",3.3,5.8,1,4.55
"188","Spec.id_188","Stemonyphantes lineatus","linyphiidae","male",4,4,1,4
"189","Spec.id_189","Tallusia experta","linyphiidae","male",2.5,3.3,1,2.9
"190","Spec.id_190","Tallusia experta","linyphiidae","female",3.5,4,1,3.75
"191","Spec.id_191","Tapinocyba biscissa","linyphiidae","male",1.5,1.5,1,1.5
"192","Spec.id_192","Tapinocyba insecta","linyphiidae","male",1.5,1.8,1,1.65
"193","Spec.id_193","Tapinocyba pallens","linyphiidae","male",1.5,1.7,1,1.6
"194","Spec.id_194","Tenuiphantes tenebricola","linyphiidae","male",2.1,2.8,1,2.45
"195","Spec.id_195","Thanatus formicinus","philodromidae","male",5.2,7.4,1,6.3
"196","Spec.id_196","Thanatus sabulosus","philodromidae","male",3,3.9,1,3.45
"197","Spec.id_197","Thanatus sabulosus","philodromidae","female",4.2,5.3,1,4.75
"198","Spec.id_198","Thanatus striatus","philodromidae","male",3,4.2,1,3.6
"199","Spec.id_199","Thanatus ssp","philodromidae","juvenile",3.85,5.2,0.5,2.2625
"200","Spec.id_200","Thyreostenius biovatus","linyphiidae","female",1.8,2.2,1,2
"201","Spec.id_201","Titanoeca spominima","titanoecidae","male",2.9,4.6,1,3.75
"202","Spec.id_202","Titanoeca spominima","titanoecidae","submale",2.9,4.6,0.75,2.8125
"203","Spec.id_203","Tmarus piger","thomisidae","male",4,4,1,4
"204","Spec.id_204","Tmarus piger","thomisidae","female",5.9,6,1,5.95
"205","Spec.id_205","Tricca lutetiana","lycosidae","male",9,9,1,9
"206","Spec.id_206","Lasiargus hirsutus","linyphiidae","female",2.6,3,1,2.8
"207","Spec.id_207","Trochosa ruricola","lycosidae","female",8,14,1,11
"208","Spec.id_208","Trochosa spinipalpis","lycosidae","male",6,8,1,7
"209","Spec.id_209","Trochosa terricola","lycosidae","male",7,9,1,8
"210","Spec.id_210","Trochosa terricola","lycosidae","female",7,14,1,10.5
"211","Spec.id_211","Trochosa ssp","lycosidae","submale",6.5,8.5,0.75,5.625
"212","Spec.id_212","Trochosa ssp","lycosidae","subfemale",7.5,14,0.75,8.0625
"213","Spec.id_213","Trochosa ssp","lycosidae","juvenile",7,11.25,0.5,4.5625
"214","Spec.id_214","Troxochrota scabra","linyphiidae","male",1.5,1.5,1,1.5
"215","Spec.id_215","Walckenaeria alticeps","linyphiidae","male",2,2.7,1,2.35
"216","Spec.id_216","Walckenaeria alticeps","linyphiidae","female",2,2.7,1,2.35
"217","Spec.id_217","Walckenaeria antica","linyphiidae","male",1.5,2.3,1,1.9
"218","Spec.id_218","Walckenaeria antica","linyphiidae","female",2,2.7,1,2.35
"219","Spec.id_219","Walckenaeria cucullata","linyphiidae","male",1.5,2.5,1,2
"220","Spec.id_220","Walckenaeria cucullata","linyphiidae","female",1.5,2.8,1,2.15
"221","Spec.id_221","Walckenaeria fugax","linyphiidae","male",1.7,2,1,1.85
"222","Spec.id_222","Walckenaeria fugax","linyphiidae","female",1.8,2.3,1,2.05
"223","Spec.id_223","Walckenaeria furcillata","linyphiidae","male",2.5,2.5,1,2.5
"224","Spec.id_224","Walckenaeria furcillata","linyphiidae","female",2.5,3,1,2.75
"225","Spec.id_225","Walckenaeria mitrata","linyphiidae","male",2,3,1,2.5
"226","Spec.id_226","Walckenaeria nudipalpis","linyphiidae","female",2.6,3.8,1,3.2
"227","Spec.id_227","Xerolycosa miniata","lycosidae","male",4.7,5.5,1,5.1
"228","Spec.id_228","Xerolycosa nemoralis","lycosidae","male",4.5,5.7,1,5.1
"229","Spec.id_229","Xerolycosa nemoralis","lycosidae","female",5,7.5,1,6.25
"230","Spec.id_230","Xerolycosa ssp","lycosidae","submale",4.6,5.6,0.75,3.825
"231","Spec.id_231","Xerolycosa ssp","lycosidae","subfemale",5,7.55,0.75,4.70625
"232","Spec.id_232","Xerolycosa ssp","lycosidae","juvenile",4.76,6.37,0.5,2.7825
"233","Spec.id_233","Xysticus cambridgei","thomisidae","male",3.7,6,1,4.85
"234","Spec.id_234","Xysticus cambridgei","thomisidae","female",4.7,9,1,6.85
"235","Spec.id_235","Xysticus cambridgei","thomisidae","submale",3.7,6,0.75,3.6375
"236","Spec.id_236","Xysticus cambridgei","thomisidae","subfemale",4.7,9,0.75,5.1375
"237","Spec.id_237","Xysticus cristatus","thomisidae","male",3.5,6.1,1,4.8
"238","Spec.id_238","Xysticus cristatus","thomisidae","female",4.7,8,1,6.35
"239","Spec.id_239","Xysticus lineatus","thomisidae","male",3.3,4.5,1,3.9
"240","Spec.id_240","Xysticus lineatus","thomisidae","female",4.5,7,1,5.75
"241","Spec.id_241","Xysticus luctuosus","thomisidae","male",4,5,1,4.5
"242","Spec.id_242","Xysticus luctuosus","thomisidae","female",5.5,8,1,6.75
"243","Spec.id_243","Xysticus ulmi","thomisidae","male",3,4,1,3.5
"244","Spec.id_244","Xysticus viduus","thomisidae","male",4.4,5.3,1,4.85
"245","Spec.id_245","Xysticus viduus","thomisidae","female",5.3,8.2,1,6.75
"246","Spec.id_246","Xysticus ssp","thomisidae","submale",3.65714285714286,5.27142857142857,0.75,3.34821428571429
"247","Spec.id_247","Xysticus ssp","thomisidae","subfemale",4.9,8.2,0.75,4.9125
"248","Spec.id_248","Xysticus ssp","thomisidae","juvenile",4.23714285714286,6.63809523809524,0.5,2.71880952380952
"249","Spec.id_249","Zelotes azsheganovae","gnaphosidae","male",4.9,4.9,1,4.9
"250","Spec.id_250","Zelotes azsheganovae","gnaphosidae","female",6,6,1,6
"251","Spec.id_251","Zelotes clivicola","gnaphosidae","male",4.6,6.1,1,5.35
"252","Spec.id_252","Zelotes clivicola","gnaphosidae","female",4.3,6.2,1,5.25
"253","Spec.id_253","Zelotes electus","gnaphosidae","male",3,5,1,4
"254","Spec.id_254","Zelotes electus","gnaphosidae","female",3.2,5.6,1,4.4
"255","Spec.id_255","Zelotes exiguus","gnaphosidae","male",2.5,3,1,2.75
"256","Spec.id_256","Zelotes latreillei","gnaphosidae","male",4.5,7.5,1,6
"257","Spec.id_257","Zelotes latreillei","gnaphosidae","female",5.3,9.5,1,7.4
"258","Spec.id_258","Zelotes longipes","gnaphosidae","male",4.4,6.2,1,5.3
"259","Spec.id_259","Zelotes longipes","gnaphosidae","female",4.5,8.3,1,6.4
"260","Spec.id_260","Zelotes petrensis","gnaphosidae","male",4.5,6.5,1,5.5
"261","Spec.id_261","Zelotes petrensis","gnaphosidae","female",3.5,8.5,1,6
"262","Spec.id_262","Zelotes subterraneus","gnaphosidae","male",3.8,7.8,1,5.8
"263","Spec.id_263","Zelotes subterraneus","gnaphosidae","female",5.8,9.2,1,7.5
"264","Spec.id_264","Zelotes ssp","gnaphosidae","submale",4.025,5.875,0.75,3.7125
"265","Spec.id_265","Zelotes ssp","gnaphosidae","subfemale",4.43333333333333,7.88333333333333,0.75,4.61875
"266","Spec.id_266","Zelotes ssp","gnaphosidae","juvenile",4.3093137254902,6.7093137254902,0.5,2.7546568627451
"267","Spec.id_267","Zora nemoralis","miturgidae ","male",3,4,1,3.5
"268","Spec.id_268","Zora nemoralis","miturgidae ","submale",3.5,5.9,0.75,3.525
"269","Spec.id_269","Zora ?pardalis","miturgidae ","subfemale",4,5.3,0.75,3.4875
"270","Spec.id_270","Zora spinimana","miturgidae ","male",4.5,5,1,4.75
"271","Spec.id_271","Zora spinimana","miturgidae ","female",5,7.7,1,6.35
